Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester,,,
Foundations of Biology,FOB,BIO101,None,None,Winter,,,
Cell Biology and Bio-Chemistry,CBB,BIO211,None,None,Monsoon,,,
Introduction to Quantitative Biology,IQB,BIO213,MTH100,None,Winter,,,
Genetics and Molecular Biology,GMB,BIO214,None,None,Monsoon,,,
Practical Bioinformatics,PB,BIO221,None,None,Winter,,,
Algorithms in Bioinformatics,ABIN,BIO321,One programming course,None,Monsoon,,,
Biophysics,BioP,BIO361,None,None,Monsoon,,,
Stochastic Simulations in Systems Biology and Biophysics,SSSBB,BIO506,BIO531,None,Monsoon,,,
Foundations of Modern Biology,FOMB,BIO512,None,BIO601;BIO214,Monsoon,,,
Algorithms in Computational Biology,ACB,BIO522,None,BIO321,Monsoon,,,
Chemoinformatics,CHI,BIO523,None,None,Winter,,,
Biomedical Image Processing,BIP,BIO524,None,None,Monsoon,,,
Introduction to Mathematical Biology,IMB,BIO531,MTH100,BIO303;BIO503,Winter,,,
Network Biology,NB,BIO532,None,None,Monsoon,,,
Systems and Synthetic Biology,S&SB,BIO533,BIO531;BIO501,None,Winter,,,
Introduction to Computational Neuroscience,ICN,BIO534,None,BIO505,Winter,,,
Data Sciences for Genomics,DSG,BIO541,None,None,Winter,,,
Machine Learning for Biomedical Applications,MLBA,BIO542,None,None,Monsoon,,,
Big Data Mining in Healthcare,BDMH,BIO543,None,None,Winter,,,
Computational Gastronomy,CGAS,BIO544,None,None,Monsoon,,,
Biostatistics,BioStats,BIO545,None,None,Winter,,,
Computing for Medicine,CM,BIO546,None,None,Monsoon,,,
Computing for Medicine,CM,CSE585,None,None,Monsoon,,,
Computer Aided Drug Design,CADD,BIO561,None,None,Winter,,,
Communication Skills,COM,COM101,None,None,Monsoon,,,
Technical Communication,TCOM,COM301A,None,None,Monsoon,,,
Introduction to Programming,IP,CSE101,None,None,Monsoon,,,
Data Structures & Algorithms,DSA,CSE102,CSE101,None,Winter,,,
Computer Organization,CO,CSE112,ECE111,None,Winter,,,
Discrete Mathematics,DM,CSE121,None,MTH210,Monsoon,,,
Introduction to Intelligent Systems,IIS,CSE140,CSE101,None,Winter,,,
Advanced Programming,AP,CSE201,CSE101;CSE102,None,Monsoon,,,
Fundamentals of Database Management System,DBMS,CSE202,CSE102,None,Winter,,,
Algorithm Design and Analysis,ADA,CSE222,CSE102,None,Winter,,,
Algorithm Design and Analysis,ALD,CSE223,CSE102,None,Winter,,,
Operating Systems,OS,CSE231,CSE102,None,Monsoon,,,
Computer Networks,CN,CSE232,CSE101;CSE231;CSE222,None,Monsoon,,,
Network Administration,NAD,CSE233,None,None,Winter,,,
Modern Algorithm Design,MAD,CSE319,CSE222,None,Monsoon,,,
Modern Algorithm Design,MAD,CSE519,CSE222,None,Monsoon,,,
Advanced Algorithms,AA,CSE320,CSE102,None,Monsoon,,,
Advanced Algorithms,AA,CSE520,CSE102,None,Monsoon,,,
Theory of Computation,ToC,CSE322,CSE121;MTH210,None,Winter,,,
Computer Graphics,CG,CSE333,CSE101,None,Monsoon,,,
Computer Graphics,CG,CSE533,CSE101,None,Monsoon,,,
Digital Image Processing,DIP,CSE340,MTH100;MTH201,None,Monsoon,,,
Digital Image Processing,DIP,CSE540,MTH100;MTH201,None,Monsoon,,,
Digital Image Processing,DIP,ECE340,MTH100;MTH201,None,Monsoon,,,
Statistical Machine Learning,SML,CSE342,CSE101;MTH201,PatternRecognition,Winter,,,
Statistical Machine Learning,SML,CSE542,CSE101;MTH201,PatternRecognition,Winter,,,
