Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers
Post Graduate Program in Cloud Computing,https://www.simplilearn.com/pgp-cloud-computing-certification-training-course?tag=,"The Post Graduate Program in Cloud Computing, designed in collaboration with Caltech CTME, helps you become an expert in Azure, AWS, and GCP. This in-depth cloud computing certification course lets you master key architectural principles and develop the skills needed to become a cloud expert.",Simplilearn,,,,University Program,8583,Cloud Computing,,
Gain Your Data Analytics Certificate With Purdue And IBM,https://www.simplilearn.com/pgp-data-analytics-certification-training-course?tag=,"Boost your career with this Data Analytics Program, in partnership with Purdue University & in collaboration with IBM, which features master classes and follows an applied learning model designed with real-life projects and business case studies.",Simplilearn,,,,University Program,757,Data Science & Business Analytics,,
Advanced Digital Transformation Course with Purdue,https://www.simplilearn.com/pgp-digital-transformation-certification-training-course?tag=,"Gain powerful digital leadership skills with the Post Graduate Digital Transformation Certification Program in collaboration with Purdue University. Also, master the most comprehensive framework for a successful business transformation with this Digital Transformation Course.",Simplilearn,,,,University Program,8583,Business and Leadership,,
Professional Certificate Program in Ethical Hacking and Penetration Testing,https://www.simplilearn.com/vapt-vulnerability-assessment-penetration-testing-certification?tag=,"Boost your career as a cybersecurity expert through this PCP in Ethical Hacking and Penetration Testing in collaboration with IIT Kanpur. In 6 months, you'll learn advanced offensive cybersecurity strategies to protect networks and data from breaches, theft, attacks, and more",Simplilearn,,,,University Program,8583,Cyber Security,,
Build a Rewarding Career with a Blockchain Developer Course,https://www.simplilearn.com/blockchain-certification-training-course?tag=,"Designed for leaders Professional Certificate Program in Blockchain is a four-month program in collaboration with IIT Kanpur. This blockchain course provides a high-engagement learning experience with real-world blockchain applications in Fintech, Healthcare, Supply Chain Management and more._x000D_
",Simplilearn,,,,University Program,8583,Software Development,,
Post Graduate Program in DevOps,https://www.simplilearn.com/pgp-devops-certification-training-course?tag=,"DevOps training course, designed in collaboration with Caltech CTME, is a professional development option that'll square your skills with industry standards. Our cutting-edge Blended Learning combines live online DevOps certification classes with interactive labs that'll give you hands-on experience",Simplilearn,,,,University Program,8583,DevOps,,
Ranked No.1 Data Science Program by Economic Times,https://www.simplilearn.com/pgp-data-science-certification-bootcamp-program?tag=,"The #1 ranked Post Graduate in Data Science program by ET is here â€” the PG in Data Science, in partnership with Purdue University & in collaboration with IBM. The program features masterclasses by Purdue faculty & IBM experts, exclusive hackathons, & Ask Me Anything sessions by IBM.",Simplilearn,,,,University Program,757,Data Science & Business Analytics,,
Post Graduate Program in Business Analysis,https://www.simplilearn.com/pgp-business-analysis-certification-training-course?tag=,"Kick-start your career growth story with the Post Graduate Program in Business Analysis. With this program, learn how to tackle complex business problems using in-demand tools. Make the most of this business analysis course with Masterclasses from Purdue University.",Simplilearn,, Rated Among the Top 5 Business Analysis Courses by  Entrepreneur,  Entrepreneur,University Program,8583,Business and Leadership,,
Post Graduate Program in Digital Marketing,https://www.simplilearn.com/pgp-digital-marketing-certification-program?tag=,Fast-track your career with the PGP in Digital Marketing Course in collaboration with Purdue University and Meta Blueprint. Learn top digital marketing tools with this online marketing course featuring Masterclasses from Meta and Purdue and Harvard Business Publishing case studies.,Simplilearn,,,,University Program,8583,Digital Marketing,,
Post Graduate Program in Full Stack Web Development,https://www.simplilearn.com/pgp-full-stack-web-development-certification-training-course?tag=,"Accelerate your career as a software developer through this Post Graduate Program in Full Stack Web Development course in collaboration with Caltech CTME. In just a few months, you'll learn modern coding techniques with bootcamp-level intensity and gain all you need to be a full-stack technologist.",Simplilearn,,Ranked No.1 Best Coding Bootcamp by Career Karma, Career Karma,University Program,8583,Software Development,,
Post Graduate Program in AI and Machine Learning,https://www.simplilearn.com/pgp-ai-machine-learning-certification-training-course?tag=,"Beat the curve with our Post Graduate Program in AI and ML, co-sponsored by Purdue University & IBM. Designed after Simplilearn's intense Bootcamp learning model, AI ML Course will help you achieve the most remarkable results & elevate your expertise.",Simplilearn,,Ranked #1 AI and ML Course by Career Karma, Career Karma,University Program,757,AI & Machine Learning,,
