Title,URL,Short Intro,Category,Sub-Category,Course Type,Duration,Site,Program Type,Courses,Level,Prequisites,What you learn
Getting Started with Google Workspace,https://www.udacity.com/course/getting-started-with-google-workspace--ud300,Learn the necessary skills to be productive with Google Workspace.,,,,Estimated timeApprox. 2 Months,Udacity,Free Course,,Beginner,"No prior experience required.
See the Technology Requirements for using Udacity.","GmailCompose, send, and reply to messagesExplore some of the common actions that can be applied to a Gmail messageOrganize your mail using Gmail labelsCompose, send, and reply to messagesExplore some of the common actions that can be applied to a Gmail messageOrganize your mail using Gmail labelsGoogle CalendarLearn how to create and manage Google Calendar eventsLearn how to update an existing event, delete and restore events, and search your calendarUnderstand when to apply different event types such as reminders, tasks, and appointment slotsLearn how to create and manage Google Calendar eventsLearn how to update an existing event, delete and restore events, and search your calendarUnderstand when to apply different event types such as reminders, tasks, and appointment slotsGoogle DriveNavigate your Google DriveUpload files and folders and work across file typesView, arrange, organize, modify, and remove files in Google DriveNavigate your Google DriveUpload files and folders and work across file typesView, arrange, organize, modify, and remove files in Google DriveGoogle DocsOpen Google Docs, create and format a new document, and apply a template to a new documentEnhance your documents using a table of contents, headers and footers, tables, drawings, images, and moreShare your documents with othersOpen Google Docs, create and format a new document, and apply a template to a new documentEnhance your documents using a table of contents, headers and footers, tables, drawings, images, and moreShare your documents with othersGoogle SheetsOpen Google Sheets, create a blank spreadsheet, and create a spreadsheet from a templateAdd, import, sort, filter and format your data using Google Sheets and learn how to work across different file typesCreate a basic formula, use functions, and reference dataOpen Google Sheets, create a blank spreadsheet, and create a spreadsheet from a templateAdd, import, sort, filter and format your data using Google Sheets and learn how to work across different file typesCreate a basic formula, use functions, and reference dataGoogle SlidesOpen Google Slides, create a blank presentation, and create a presentation from a templateExplore themes, layout options, content formatting, and speaker notes in your presentationsEnhance your slides by adding tables, images, charts, and moreOpen Google Slides, create a blank presentation, and create a presentation from a templateExplore themes, layout options, content formatting, and speaker notes in your presentationsEnhance your slides by adding tables, images, charts, and moreGoogle Meet and Google ChatBecome familiar with the different ways you can open Google Meet and add people to a video conferenceJoin a meeting from different sources such as a calendar event or meeting linkUse direct messaging to have a private conversation with a colleague or a small group of peopleBecome familiar with the different ways you can open Google Meet and add people to a video conferenceJoin a meeting from different sources such as a calendar event or meeting linkUse direct messaging to have a private conversation with a colleague or a small group of peopleGoogle Sheets - Advanced TopicsExplore how to create formulas using functions, reference, and validate your data in a Google SheetExplore the data visualization options in Google Sheets, such as charts and pivot tablesExplore how Forms and Sheets work together by connecting collected Form data to a spreadsheet, or by creating a Form from an existing spreadsheetExplore how to create formulas using functions, reference, and validate your data in a Google SheetExplore the data visualization options in Google Sheets, such as charts and pivot tablesExplore how Forms and Sheets work together by connecting collected Form data to a spreadsheet, or by creating a Form from an existing spreadsheet"
Google Cloud Digital Leader Training,https://www.udacity.com/course/google-cloud-digital-leader-training--ud301,Gain foundational cloud and digital transformation literacy.,,,,Estimated timeApprox. 2 Weeks,Udacity,Free Course,,Intermediate,"No prior experience required.
See the Technology Requirements for using Udacity.","Introduction to Digital Transformation with Google CloudDefine foundational terms such as cloud, data, and digital transformationExplore examples of companies around the world that are using cloud technology to revolutionize their businessesOverview of the types of opportunities and challenges that companies often encounter in their digital transformation journeyDefine foundational terms such as cloud, data, and digital transformationExplore examples of companies around the world that are using cloud technology to revolutionize their businessesOverview of the types of opportunities and challenges that companies often encounter in their digital transformation journeyInnovating with Data and Google CloudLearn what data is, historical ways companies have used it to make decisions, and why it is so critical for machine learningIntroduces technical concepts such as structured and unstructured data, database, data warehouse, and data lakesCover the most common and fastest growing Google Cloud products around dataLearn what data is, historical ways companies have used it to make decisions, and why it is so critical for machine learningIntroduces technical concepts such as structured and unstructured data, database, data warehouse, and data lakesCover the most common and fastest growing Google Cloud products around dataInfrastructure and Application ModernizationExplore the challenges of an outdated IT infrastructure and how businesses can modernize it using cloud technologyExplore the different compute options available in the cloud and the benefits of eachConsider a range of Google Cloud solutions that can help businesses to better develop and manage their systemsExplore the challenges of an outdated IT infrastructure and how businesses can modernize it using cloud technologyExplore the different compute options available in the cloud and the benefits of eachConsider a range of Google Cloud solutions that can help businesses to better develop and manage their systemsUnderstanding Google Cloud Security and OperationsExplore how businesses can choose to maintain some or none of their own infrastructure by purchasing IT services from a cloud providerExplain how the responsibility of data security is shared between the cloud provider and the businessExplore the defense-in-depth security built into Google CloudExplore how businesses can choose to maintain some or none of their own infrastructure by purchasing IT services from a cloud providerExplain how the responsibility of data security is shared between the cloud provider and the businessExplore the defense-in-depth security built into Google Cloud"
Cloud Native Fundamentals,https://www.udacity.com/course/cloud-native-fundamentals--ud064,"Learn how to structure, package, and release an application to a Kubernetes cluster, while using an automated CI/CD pipeline.",,,,Estimated timeApprox. 1 Month,Udacity,Free Course,,Intermediate,"A well-prepared learner will meet the following prerequisites:

Understand the basics of http (like client, server, and internet request)
Basic Python (data types, Functions, REST requests, web development)
Ability to use Git, Linux machines, and Linux Command Line
Familiar with Web application development in any language
Familiarity with Docker and exposure to a CI/CD pipeline are not required for success in this program but are helpful skills to have.

See the Technology Requirements for using Udacity.","Welcome to Cloud Native FundamentalsEvaluate the cloud native ecosystemExplore CNCF (Cloud Native Computing Foundation) and cloud native toolingEvaluate the cloud native ecosystemExplore CNCF (Cloud Native Computing Foundation) and cloud native toolingArchitecture Consideration for Cloud Native ApplicationsChoose monolith or microservice based-architecture for an applicationConsider and evaluate the involved trade-offs for monoliths and microservicesApply good development practices to an applicationChoose monolith or microservice based-architecture for an applicationConsider and evaluate the involved trade-offs for monoliths and microservicesApply good development practices to an applicationContainer Orchestration with KubernetesUse Docker to package an application and distribute it via DockerHubBootstrap a Kubernetes cluster using k3sExplore Kubernetes resources for an application deploymentDifferentiate between declarative and imperative Kubernetes management techniquesUse Docker to package an application and distribute it via DockerHubBootstrap a Kubernetes cluster using k3sExplore Kubernetes resources for an application deploymentDifferentiate between declarative and imperative Kubernetes management techniquesOpen Source PaaSUnderstand the usage and abstracted components while using a Platform as a Service (PaaS) solutionExplore application deployment with Cloud FoundryUnderstand the usage and abstracted components while using a Platform as a Service (PaaS) solutionExplore application deployment with Cloud FoundryCI/CD with Cloud Native ToolingExplain CI/CD and its benefitsApply Continuous Integration fundamentals using GitHub ActionsApply Continuous Delivery fundamentals using ArgoCDUse Helm, as a configuration template manager, to parametrize declarative Kubernetes manifestsDeploy an application using ArgoCD and a Helm chartExplain CI/CD and its benefitsApply Continuous Integration fundamentals using GitHub ActionsApply Continuous Delivery fundamentals using ArgoCDUse Helm, as a configuration template manager, to parametrize declarative Kubernetes manifestsDeploy an application using ArgoCD and a Helm chart"
Linear Algebra Refresher Course,https://www.udacity.com/course/linear-algebra-refresher-course--ud953,A Brief Refresher (with Python!),,,,Estimated timeApprox. 4 Months,Udacity,Free Course,,Intermediate,The course has no formal prerequisites except experience with some programming language. A familiarity with high-school algebra and trigonometry will also be useful.See the Technology Requirements for using Udacity.,"VectorsLearn the basic operations on vectors (one of the fundamental objects of study in linear algebra).Code a library of functions to perform operations on vectors that you will use in later lessons.Learn the basic operations on vectors (one of the fundamental objects of study in linear algebra).Code a library of functions to perform operations on vectors that you will use in later lessons.IntersectionsLearn the geometric and algebraic interpretation of intersections of ""flat"" objects and how to solve real-world problems.Write your own algorithm to find the intersections of sets of lines and planes.Learn the geometric and algebraic interpretation of intersections of ""flat"" objects and how to solve real-world problems.Write your own algorithm to find the intersections of sets of lines and planes."
Machine Learning for Trading,https://www.udacity.com/course/machine-learning-for-trading--ud501,Offered at Georgia Tech as CS 7646,,,,Estimated timeApprox. 4 Months,Udacity,Free Course,,Intermediate,"Students should have strong coding skills and some familiarity with equity markets. No finance or machine learning experience is assumed.Note that this course serves students focusing on computer science, as well as students in other majors such as industrial systems engineering, management, or math who have different experiences. All types of students are welcome!The ML topics might be ""review"" for CS students, while finance parts will be review for finance students. However, even if you have experience in these topics, you will find that we consider them in a different way than you might have seen before, in particular with an eye towards implementation for trading.Programming will primarily be in Python. We will make heavy use of numerical computing libraries like NumPy and Pandas.See the Technology Requirements for using Udacity.",Manipulating Financial Data in PythonComputational InvestingMachine Learning Algorithms for Trading
Introduction to Computer Vision,https://www.udacity.com/course/introduction-to-computer-vision--ud810,Offered at Georgia Tech as CS 6476,,,,Estimated timeApprox. 4 Months,Udacity,Free Course,,Intermediate,"Data structures: You'll be writing code that builds representations of images, features, and geometric constructions.A good working knowledge of Matlab and/or Python with NumPy. The lecture videos use Matlab for occasional demonstration because the instructor is too old to change. Problem sets will be done in Matlab or Python. As mentioned in the resources note below, you can use either Matlab or the open source version Octave.This course has more math than many CS courses: Linear algebra, vector calculus, and linear algebra (that is not a typo).No prior knowledge of vision is assumed though any experience with Signal Processing is helpful.See the Technology Requirements for using Udacity.",IntroductionIntroductionIntroductionImage Processing for Computer VisionLinear image processingModel fittingFrequency domain analysisLinear image processingModel fittingFrequency domain analysisCamera Models and ViewsCamera modelsStereo geometryCamera calibrationMultiple viewsCamera modelsStereo geometryCamera calibrationMultiple viewsImage FeaturesFeature detectionFeature descriptorsModel fittingFeature detectionFeature descriptorsModel fittingLightingPhotometryLightnessShape from shadingPhotometryLightnessShape from shadingImage MotionOverviewOptical flowOverviewOptical flowTrackingIntroduction to trackingParametric modelsNon-parametric modelsTracking considerationsIntroduction to trackingParametric modelsNon-parametric modelsTracking considerationsClassification and RecognitionIntroduction to recognitionClassification: Generative modelsClassification: Discriminative modelsAction recognitionIntroduction to recognitionClassification: Generative modelsClassification: Discriminative modelsAction recognitionUseful MethodsColor spaces and segmentationBinary morphology3D perceptionColor spaces and segmentationBinary morphology3D perceptionHuman Visual SystemThe retinaVision in the brainThe retinaVision in the brain
Full Stack Foundations,https://www.udacity.com/course/full-stack-foundations--ud088,Build a data-driven web app with Python,,,,Estimated timeApprox. 3 Weeks,Udacity,Free Course,,Intermediate,"You should be comfortable with Python, including Object-Oriented Programming. If you’d like to brush up on your Python, try the first three lessons of our Intro to Computer Science course. For Object-Oriented Programming in Python, see Programming Foundations with Python.You should also have a firm understanding of SQL and working with a relational database, particularly PostgreSQL. Our Intro to Relational Databases course can get you started if you feel you’re not yet prepared.Finally, you should be able to read and write HTML and CSS without any guidance. If you need a refresher on HTML and CSS, start with our Intro to HTML and CSS course.To complete the final project for this course, it is critical you meet these prerequisites as you are given no assets to begin with and will truly build a complete web application from scratch.See the Technology Requirements for using Udacity.","Working with the CRUDLearn about CRUD; Create, Read, Update, and Delete.Implement CRUD operations on a database.Use an ORM (Object-Relational Mapping) as an alternative to SQL.Learn about CRUD; Create, Read, Update, and Delete.Implement CRUD operations on a database.Use an ORM (Object-Relational Mapping) as an alternative to SQL.Making a Web ServerBuild a web server from scratch using Python and some pre-installed libraries.Learn how GET and POST requests can retrieve and modify information on a web site.How to add CRUD functionality to our website.Build a web server from scratch using Python and some pre-installed libraries.Learn how GET and POST requests can retrieve and modify information on a web site.How to add CRUD functionality to our website.Developing with FrameworksIntroduction to web frameworks like Django and Ruby on Rails.Use the Flask web framework to develop our own web application.Introduction to APIs and how to add JSON endpoints to our application.Introduction to web frameworks like Django and Ruby on Rails.Use the Flask web framework to develop our own web application.Introduction to APIs and how to add JSON endpoints to our application.Iterative DevelopmentBuild an entire web application on your own.Learn about the iterative development process.Have a working prototype throughout all stages of the development process.Build an entire web application on your own.Learn about the iterative development process.Have a working prototype throughout all stages of the development process."
Product Manager Interview Preparation,https://www.udacity.com/course/product-manager-interview-preparation--ud034,"Prove your qualifications in your Product Manager interviews, and watch experienced Product Managers go through mock strategy and technical interviews, as well as share insights about the PM interview process.",,,,Estimated timeApprox. 1 Week,Udacity,Free Course,,Beginner,"This course is ideal for anyone looking to upgrade their PM interviewing skills or break into the Product Management field, and learn best practices for Product Management interviews. There are no technical prerequisites for this course.See the Technology Requirements for using Udacity.","What You Need to Know Before the Product Manager InterviewUnderstand what skills, abilities, and experience impress Hiring Managers and help you stand outLearn how to prepare for a Product Manager interview, including what assets to prioritize and how responses should be structuredGet advice from practicing Product Managers on how to get into Product ManagementUnderstand what skills, abilities, and experience impress Hiring Managers and help you stand outLearn how to prepare for a Product Manager interview, including what assets to prioritize and how responses should be structuredGet advice from practicing Product Managers on how to get into Product ManagementMock Interview: Product Strategy QuestionsLearn how to answer case questions that touch upon feature enhancements to improve product performance, metrics to measure success, and how to increase product subscriptionsLearn how to justify your product decisions with a strategic framework that is structured and defensibleEvaluate the strengths and weaknesses in the mock strategy interview, and apply your learnings to a set of practice questionsLearn how to answer case questions that touch upon feature enhancements to improve product performance, metrics to measure success, and how to increase product subscriptionsLearn how to justify your product decisions with a strategic framework that is structured and defensibleEvaluate the strengths and weaknesses in the mock strategy interview, and apply your learnings to a set of practice questionsMock Interview: Technical Product QuestionsLearn how to answer questions around prioritizing resources in a product roadmap, and convincing cross-functional teams to execute on your visionLearn how to answer technical questions like explaining the back-end of a Google searchEvaluate the strengths and weaknesses in the mock technical interview, and apply your learnings to a set of practice questionsLearn how to answer questions around prioritizing resources in a product roadmap, and convincing cross-functional teams to execute on your visionLearn how to answer technical questions like explaining the back-end of a Google searchEvaluate the strengths and weaknesses in the mock technical interview, and apply your learnings to a set of practice questionsDay in the Life of a Product ManagerUnderstand how Product Managers structure their day, and which skills are applied how on the jobExplain the typical decisions Product Managers have to make, and the unique challenges and opportunities that are encapsulated in this roleExperience a day in the life of Product Managers in the Growth and AI specializationsUnderstand how Product Managers structure their day, and which skills are applied how on the jobExplain the typical decisions Product Managers have to make, and the unique challenges and opportunities that are encapsulated in this roleExperience a day in the life of Product Managers in the Growth and AI specializations"
Data Wrangling with MongoDB,https://www.udacity.com/course/data-wrangling-with-mongodb--ud032,Data Manipulation and Retrieval,,,,Estimated timeApprox. 2 Months,Udacity,Free Course,,Intermediate,"The ideal student should have the following skills:  Programming experience in Python or a willingness to read a little documentation to understand examples and exercises throughout the course.  The ability to perform rudimentary system administration on Windows or UnixAt least some experience using a unix shell or Windows PowerShell will be helpful, but is not required. No prior experience with databases is needed.  About MongoDBThis course is developed in conjunction with MongoDB, Inc., the originator and primary contributor to the open source database  MongoDB. MongoDB is the leading NoSQL database. Designed for how we build and run applications today, MongoDB empowers organizations to be more agile and scalable. It enables new types of applications, better customer experience, faster time to market and lower costs.See the Technology Requirements for using Udacity.","Data Extraction FundamentalsAssessing the Quality of DataIntro to Tabular FormatsParsing CSVAssessing the Quality of DataIntro to Tabular FormatsParsing CSVData in More Complex FormatsXML Design PrinciplesParsing XMLWeb ScrapingXML Design PrinciplesParsing XMLWeb ScrapingData QualitySources of Dirty DataA Blueprint for CleaningAuditing DataSources of Dirty DataA Blueprint for CleaningAuditing DataWorking with MongoDBData Modelling in MongoDBIntroduction to PyMongoField QueriesData Modelling in MongoDBIntroduction to PyMongoField QueriesAnalyzing DataExamples of Aggregation FrameworkThe Aggregation PipelineAggregation Operators: $match, $project, $unwind, $groupExamples of Aggregation FrameworkThe Aggregation PipelineAggregation Operators: $match, $project, $unwind, $groupCase Study - OpenStreetMap DataUsing iterative parsing for large datafilesOpen Street Map XML OverviewExercises around OpenStreetMap dataUsing iterative parsing for large datafilesOpen Street Map XML OverviewExercises around OpenStreetMap data"
Introduction to Python Programming,https://www.udacity.com/course/introduction-to-python--ud1110,Learn to solve practical problems with Python.,,,,Estimated timeApprox. 5 Weeks,Udacity,Free Course,,Beginner,"This course is ideal for students who are new to Python, but have some experience programming in another language. If you're a complete beginner to programming, we recommend checking out the Learn to Code program, which will help you understand how code is used all over the web.  See the Technology Requirements for using Udacity.","Why Python ProgrammingReceive an overview of what you’ll be learning and doing in the courseUnderstand why you should learn programming with PythonReceive an overview of what you’ll be learning and doing in the courseUnderstand why you should learn programming with PythonData Types and OperatorsRepresent data using Python's data types: integers, floats, booleans, strings, lists, tuples, sets, dictionaries, compound data structuresPerform computations and create logical statements using Python’s operators: Arithmetic, Assignment, Comparison, Logical, Membership, IdentityPractice whitespace and style guidelinesRepresent data using Python's data types: integers, floats, booleans, strings, lists, tuples, sets, dictionaries, compound data structuresPerform computations and create logical statements using Python’s operators: Arithmetic, Assignment, Comparison, Logical, Membership, IdentityPractice whitespace and style guidelinesControl FlowWrite conditional expressions using if statements and boolean expressions to add decision making to your Python programsUse for and while loops along with useful built-in functions to iterate over and manipulate lists, sets, and dictionariesCondense for loops to create lists efficiently with list comprehensionsWrite conditional expressions using if statements and boolean expressions to add decision making to your Python programsUse for and while loops along with useful built-in functions to iterate over and manipulate lists, sets, and dictionariesCondense for loops to create lists efficiently with list comprehensionsFunctionsDefine your own custom functionsCreate and reference variables using the appropriate scopeUse iterators and generators to create streams of dataDefine your own custom functionsCreate and reference variables using the appropriate scopeUse iterators and generators to create streams of dataScriptingInstall Python 3 and set up your programming environmentExperiment in the terminal using a Python InterpreterInstall Python 3 and set up your programming environmentExperiment in the terminal using a Python Interpreter"
